rule,class_code,class_name,final_population,max_population,min_population,final_extent,mean_variance,mean_density
246,3,Class 3: Chaotic Turbulent,35616,62096,26,43.30127019,4.006454449,0.126151021
247,2B,Class 2B: Sparse-Full Blink (N↔Full),8,132651,8,43.30127019,1.476793182,0.19503664
248,1A,Class 1A: Immediate Extinction,0,0,0,0,0,0
249,2B,Class 2B: Sparse-Full Blink (N↔Full),681,132625,9,43.30127019,2.07011135,0.194041895
250,3,Class 3: Chaotic Turbulent,34450,56374,26,43.30127019,3.943996655,0.126979113
251,2B,Class 2B: Sparse-Full Blink (N↔Full),8,132651,8,43.30127019,1.476793182,0.19503664
252,1A,Class 1A: Immediate Extinction,0,0,0,0,0,0
253,2B,Class 2B: Sparse-Full Blink (N↔Full),153,132625,9,43.30127019,1.845000716,0.194677614
254,3,Class 3: Chaotic Turbulent,63520,67296,26,43.30127019,4.278518043,0.132139752
255,2B,Class 2B: Sparse-Full Blink (N↔Full),8,132651,8,43.30127019,1.476793182,0.19503664
